"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DLAT",3.39212312593575e-09,0.667701940324419,0.257,0.224,8.721826981406e-05
"SLC9B2",3.50665514210387e-09,0.647372292743371,0.135,0.098,9.01631170137746e-05
"SCOC",3.65757815658123e-09,0.432226729604569,0.536,0.536,9.40436495620166e-05
"RELB",3.68350370112881e-09,-0.304986907178909,0.203,0.254,9.4710247163424e-05
"RP11-983P16.4",3.7304634263676e-09,0.906823610343253,0.124,0.089,9.59176756187638e-05
"PARP14",3.82069817643972e-09,0.580228044396544,0.315,0.286,9.82377915126182e-05
"MOGAT3",3.82596327243488e-09,0.966724819900383,0.209,0.173,9.83731676608455e-05
"SERPINE1",4.03019418229334e-09,0.962287922304981,0.239,0.207,0.000103624352815126
"RP11-620J15.3",4.05691343427727e-09,0.686572449173183,0.218,0.179,0.000104311358222137
"NAGS",4.08018921487953e-09,1.00897371155434,0.188,0.156,0.000104909825092983
"SFT2D2",4.26653194234405e-09,0.745434399969604,0.279,0.247,0.00010970106930155
"USP40",4.2932911461249e-09,1.00698331839766,0.123,0.089,0.000110389101949163
"RPF1",4.53068172885726e-09,0.550881775838903,0.494,0.491,0.000116492888612378
"CLDN14",4.62350010409604e-09,0.742370681121872,0.169,0.132,0.000118879434676517
"TMEM218",4.67446287069389e-09,0.606605931110965,0.24,0.202,0.000120189789331281
"ARID5B",4.71118325643423e-09,0.857397325668117,0.223,0.19,0.000121133943889437
"EZH1",4.85805814455639e-09,0.883123173126093,0.104,0.071,0.000124910391012834
